DataRate_kbps,Delivered,AvgQueueDelay_rounds,AvgE2EDelay_s,FirstDeadRound,AllDeadRound,CompTime_s,Throughput_Mbps,RoutingOverhead_ratio,Jitter_s,Reliability_ratio,PacketDropRatio,Src1_Eres_J,Src2_Eres_J,Src3_Eres_J,Src4_Eres_J,Src5_Eres_J,Src6_Eres_J,Src7_Eres_J,Src8_Eres_J
20,213,0.882916237948424,0.930156027558759,97,20000,11.6468864,0.000639,0.492957746478873,0.364966119680157,0.0033462680470677,0.996653731952932,5.25000000000001,7,7,1.35000000000001,4.80000000000001,5.30000000000001,1.30000000000001,7
30,210,0.945908602259058,0.994687780792028,88,20000,0.8523949,0.00063,0.495238095238095,0.360956747620191,0.00281985175636481,0.997180148243635,5.15000000000001,5.00000000000001,7,1.30000000000001,7,5.20000000000001,1.30000000000001,7
40,209,0.957170724809203,0.985355725569117,77,20000,0.7737355,0.000627,0.483253588516746,0.360430196883349,0.00244859703590885,0.997551402964091,5.30000000000001,5.00000000000001,7,1.30000000000001,7,5.05000000000001,1.30000000000001,7
50,310,1.00428548093426,1.06842211314693,67,20000,0.838787,0.00093,0.648387096774194,0.393247415220207,0.00387064552378574,0.996129354476214,5.15000000000001,5.15000000000001,7,1.30000000000001,7,5.05000000000001,1.30000000000001,1.35000000000002
60,109,1.01766031792347,1.02519920236054,66,20000,1.3465879,0.000327,0,0.373898227398906,0.00101865350828006,0.99898134649172,7,7,7,1.30000000000001,7,7,1.30000000000001,7
70,310,1.06779088127885,1.1295594474351,60,20000,0.9306115,0.00093,0.654838709677419,0.35221662526978,0.00325886990801577,0.996741130091984,4.95000000000001,1.35000000000002,7,1.35000000000001,5.00000000000001,5.40000000000001,1.30000000000001,7
80,109,1.09996029032841,1.10746155643123,61,20000,1.112156,0.000327,0,0.386050102347299,0.000955285621636781,0.999044714378363,7,7,7,1.30000000000001,7,7,1.30000000000001,7
90,206,1.10712448596725,1.14077533262214,58,20000,1.137227,0.000618,0.490291262135922,0.361777773452028,0.00180646292804841,0.998193537071952,5.15000000000001,7,7,1.30000000000001,5.20000000000001,5.00000000000001,1.30000000000001,7
100,315,1.13202511816682,1.17797143147126,62,20000,3.1342557,0.000945,0.647619047619048,0.376175101419146,0.00275848782324661,0.997241512176753,3.95000000000001,5.00000000000001,7,1.30000000000001,3.80000000000001,3.95000000000001,1.30000000000001,7
