DataRate_kbps,PacketDropRatio
20,0.981785349768391
30,0.983809966160175
40,0.987879683689306
50,0.990452420568893
60,0.991919292481789
70,0.993046055631555
80,0.994007350650969
90,0.994742434640161
100,0.995366218236173
