20,5.25,7,7,1.35,4.8,5.3,1.3,7
30,5.15,5,7,1.3,7,5.2,1.3,7
40,5.3,5,7,1.3,7,5.05,1.3,7
50,5.15,5.15,7,1.3,7,5.05,1.3,1.35
60,7,7,7,1.3,7,7,1.3,7
70,4.95,1.35,7,1.35,5,5.4,1.3,7
80,7,7,7,1.3,7,7,1.3,7
90,5.15,7,7,1.3,5.2,5,1.3,7
100,3.95,5,7,1.3,3.8,3.95,1.3,7
