DataRate_kbps,RoutingOverhead_ratio
1,0.254276991103858
6,0.253232242617717
11,0.252479735494881
17,0.250019990937442
22,0.249414046714621
27,0.241507713352078
32,0.210623428742764
37,0.183351457387151
43,0.159340659340659
48,0.148435073358791
53,0.133988056198005
58,0.122599127547366
64,0.112277436186931
69,0.103119964845467
74,0.0986361422308816
79,0.0940310011132997
84,0.0885039100405274
90,0.0846739207737714
95,0.0804965789659307
100,0.0778644034343235
