DataRate_kbps,AvgQueueDelay_rounds
1,63.2047691740801
6,61.3604150039904
11,50.9259545648464
17,57.0038649145721
22,51.2515423368086
27,235.613496466297
32,759.03574970593
37,1088.21772319239
43,1353.94853545031
48,1513.28261862564
53,1636.16892195105
58,1683.07357249821
64,1747.61980684436
69,1813.22532591182
74,2190.02227729864
79,2691.85602751848
84,3062.944702894
90,3516.3273309153
95,3809.82451858644
100,4099.79196684101
