DataRate_kbps,AvgQueueDelay_rounds
20,1.61585124496577
30,1.65972085829922
40,1.68194076698905
50,1.74654437702823
60,1.78899729557894
70,1.86550141137944
80,1.88239970862213
90,1.94994563222463
100,2.0294132442469
