DataRate_kbps,Reliability_ratio
20,0.0182146502316087
30,0.0161900338398248
40,0.012120316310694
50,0.00954757943110689
60,0.00808070751821063
70,0.00695394436844505
80,0.00599264934903133
90,0.00525756535983884
100,0.00463378176382661
