DataRate_kbps,Src1_Eres_J,Src2_Eres_J,Src3_Eres_J,Src4_Eres_J,Src5_Eres_J,Src6_Eres_J,Src7_Eres_J,Src8_Eres_J
20,3.65000000000001,1.35000000000002,7,1.35000000000002,4.25000000000001,3.80000000000001,3.20000000000001,1.35000000000002
30,3.50000000000001,1.35000000000002,7,1.35000000000002,4.15000000000001,3.70000000000001,3.40000000000001,1.35000000000002
40,3.25000000000001,1.35000000000002,7,1.35000000000002,4.15000000000001,4.00000000000001,2.95000000000001,1.35000000000002
50,3.70000000000001,1.35000000000002,7,1.35000000000002,4.55000000000001,3.40000000000001,3.20000000000001,1.35000000000002
60,3.80000000000001,1.35000000000002,7,1.35000000000002,4.20000000000001,3.35000000000001,3.10000000000001,1.35000000000002
70,3.65000000000001,1.35000000000002,7,1.35000000000002,4.30000000000001,3.30000000000001,3.20000000000001,1.35000000000002
80,3.65000000000001,1.35000000000002,7,1.35000000000002,4.40000000000001,3.55000000000001,3.25000000000001,1.35000000000002
90,3.50000000000001,1.35000000000002,7,1.35000000000002,4.20000000000001,3.50000000000001,3.30000000000001,1.35000000000002
100,3.70000000000001,1.35000000000002,7,1.35000000000002,4.10000000000001,3.55000000000001,2.90000000000001,1.35000000000002
